YEAR,AGE_GROUP,TYPE,AREA,UNIT
1999,141...,production,5.50,kha
1999,131...140,production,0.00,kha
1999,121...130,production,3.90,kha
1999,111...120,production,20.50,kha
1999,101...110,production,28.80,kha
1999,91...100,production,44.80,kha
1999,81...90,production,92.50,kha
1999,71...80,production,144.80,kha
1999,61...70,production,193.20,kha
1999,51...60,production,287.20,kha
1999,41...50,production,313.40,kha
1999,31...40,production,307.50,kha
1999,21...30,production,186.10,kha
1999,11...20,production,119.50,kha
1999,...10,production,103.80,kha
1999,unknown,production,79.40,kha
1999,clearcut,production,48.70,kha
1999,141...,protected,4.90,kha
1999,131...140,protected,5.20,kha
1999,121...130,protected,2.30,kha
1999,111...120,protected,3.40,kha
1999,101...110,protected,5.70,kha
1999,91...100,protected,9.20,kha
1999,81...90,protected,14.40,kha
1999,71...80,protected,17.10,kha
1999,61...70,protected,37.50,kha
1999,51...60,protected,33.90,kha
1999,41...50,protected,22.50,kha
1999,31...40,protected,18.10,kha
1999,21...30,protected,12.30,kha
1999,11...20,protected,8.10,kha
1999,...10,protected,8.00,kha
1999,unknown,protected,7.10,kha
1999,clearcut,protected,3.50,kha
2000,141...,production,9.00,kha
2000,131...140,production,2.80,kha
2000,121...130,production,3.60,kha
2000,111...120,production,25.20,kha
2000,101...110,production,25.70,kha
2000,91...100,production,65.00,kha
2000,81...90,production,106.70,kha
2000,71...80,production,164.60,kha
2000,61...70,production,220.30,kha
2000,51...60,production,293.30,kha
2000,41...50,production,307.30,kha
2000,31...40,production,274.80,kha
2000,21...30,production,173.30,kha
2000,11...20,production,132.70,kha
2000,...10,production,90.30,kha
2000,unknown,production,83.40,kha
2000,clearcut,production,55.40,kha
2000,141...,protected,5.50,kha
2000,131...140,protected,5.40,kha
2000,121...130,protected,4.50,kha
2000,111...120,protected,8.60,kha
2000,101...110,protected,6.70,kha
2000,91...100,protected,10.10,kha
2000,81...90,protected,16.10,kha
2000,71...80,protected,19.60,kha
2000,61...70,protected,35.90,kha
2000,51...60,protected,25.00,kha
2000,41...50,protected,21.80,kha
2000,31...40,protected,15.00,kha
2000,21...30,protected,12.30,kha
2000,11...20,protected,6.90,kha
2000,...10,protected,8.00,kha
2000,unknown,protected,5.70,kha
2000,clearcut,protected,2.80,kha
2001,141...,production,7.20,kha
2001,131...140,production,1.90,kha
2001,121...130,production,3.90,kha
2001,111...120,production,22.50,kha
2001,101...110,production,23.60,kha
2001,91...100,production,61.50,kha
2001,81...90,production,100.70,kha
2001,71...80,production,164.70,kha
2001,61...70,production,217.20,kha
2001,51...60,production,294.80,kha
2001,41...50,production,317.10,kha
2001,31...40,production,285.80,kha
2001,21...30,production,179.30,kha
2001,11...20,production,129.90,kha
2001,...10,production,82.70,kha
2001,unknown,production,89.90,kha
2001,clearcut,production,63.80,kha
2001,141...,protected,7.80,kha
2001,131...140,protected,3.90,kha
2001,121...130,protected,3.70,kha
2001,111...120,protected,9.70,kha
2001,101...110,protected,7.00,kha
2001,91...100,protected,8.90,kha
2001,81...90,protected,13.00,kha
2001,71...80,protected,17.90,kha
2001,61...70,protected,28.10,kha
2001,51...60,protected,20.10,kha
2001,41...50,protected,22.70,kha
2001,31...40,protected,15.60,kha
2001,21...30,protected,12.40,kha
2001,11...20,protected,5.70,kha
2001,...10,protected,5.80,kha
2001,unknown,protected,4.60,kha
2001,clearcut,protected,2.10,kha
2002,141...,production,7.30,kha
2002,131...140,production,2.60,kha
2002,121...130,production,5.20,kha
2002,111...120,production,20.50,kha
2002,101...110,production,27.40,kha
2002,91...100,production,56.10,kha
2002,81...90,production,98.90,kha
2002,71...80,production,164.60,kha
2002,61...70,production,216.10,kha
2002,51...60,production,288.90,kha
2002,41...50,production,309.00,kha
2002,31...40,production,278.50,kha
2002,21...30,production,178.10,kha
2002,11...20,production,133.50,kha
2002,...10,production,84.10,kha
2002,unknown,production,90.70,kha
2002,clearcut,production,65.60,kha
2002,141...,protected,7.70,kha
2002,131...140,protected,3.20,kha
2002,121...130,protected,3.90,kha
2002,111...120,protected,8.90,kha
2002,101...110,protected,8.50,kha
2002,91...100,protected,9.10,kha
2002,81...90,protected,13.80,kha
2002,71...80,protected,20.00,kha
2002,61...70,protected,27.30,kha
2002,51...60,protected,20.70,kha
2002,41...50,protected,21.80,kha
2002,31...40,protected,14.90,kha
2002,21...30,protected,12.10,kha
2002,11...20,protected,4.50,kha
2002,...10,protected,4.60,kha
2002,unknown,protected,4.80,kha
2002,clearcut,protected,2.10,kha
2003,141...,production,7.30,kha
2003,131...140,production,2.90,kha
2003,121...130,production,5.40,kha
2003,111...120,production,19.40,kha
2003,101...110,production,28.60,kha
2003,91...100,production,58.50,kha
2003,81...90,production,97.90,kha
2003,71...80,production,169.70,kha
2003,61...70,production,213.90,kha
2003,51...60,production,289.70,kha
2003,41...50,production,315.10,kha
2003,31...40,production,280.60,kha
2003,21...30,production,186.70,kha
2003,11...20,production,134.80,kha
2003,...10,production,92.30,kha
2003,unknown,production,90.30,kha
2003,clearcut,production,66.40,kha
2003,141...,protected,7.20,kha
2003,131...140,protected,3.10,kha
2003,121...130,protected,4.00,kha
2003,111...120,protected,8.90,kha
2003,101...110,protected,8.60,kha
2003,91...100,protected,10.70,kha
2003,81...90,protected,14.90,kha
2003,71...80,protected,21.20,kha
2003,61...70,protected,27.90,kha
2003,51...60,protected,23.30,kha
2003,41...50,protected,22.30,kha
2003,31...40,protected,15.00,kha
2003,21...30,protected,13.40,kha
2003,11...20,protected,4.50,kha
2003,...10,protected,4.30,kha
2003,unknown,protected,4.90,kha
2003,clearcut,protected,1.90,kha
2004,141...,production,7.20,kha
2004,131...140,production,3.80,kha
2004,121...130,production,6.80,kha
2004,111...120,production,18.50,kha
2004,101...110,production,30.20,kha
2004,91...100,production,66.90,kha
2004,81...90,production,98.20,kha
2004,71...80,production,176.30,kha
2004,61...70,production,213.10,kha
2004,51...60,production,288.60,kha
2004,41...50,production,312.00,kha
2004,31...40,production,263.60,kha
2004,21...30,production,183.90,kha
2004,11...20,production,140.50,kha
2004,...10,production,101.50,kha
2004,unknown,production,89.20,kha
2004,clearcut,production,68.40,kha
2004,141...,protected,9.40,kha
2004,131...140,protected,2.90,kha
2004,121...130,protected,5.00,kha
2004,111...120,protected,9.00,kha
2004,101...110,protected,9.10,kha
2004,91...100,protected,13.40,kha
2004,81...90,protected,15.20,kha
2004,71...80,protected,23.20,kha
2004,61...70,protected,30.10,kha
2004,51...60,protected,26.60,kha
2004,41...50,protected,24.60,kha
2004,31...40,protected,16.80,kha
2004,21...30,protected,13.60,kha
2004,11...20,protected,5.40,kha
2004,...10,protected,3.30,kha
2004,unknown,protected,4.20,kha
2004,clearcut,protected,1.70,kha
2005,141...,production,6.60,kha
2005,131...140,production,3.70,kha
2005,121...130,production,9.70,kha
2005,111...120,production,16.30,kha
2005,101...110,production,32.70,kha
2005,91...100,production,61.60,kha
2005,81...90,production,95.80,kha
2005,71...80,production,177.70,kha
2005,61...70,production,209.50,kha
2005,51...60,production,281.70,kha
2005,41...50,production,306.30,kha
2005,31...40,production,266.30,kha
2005,21...30,production,180.20,kha
2005,11...20,production,134.80,kha
2005,...10,production,109.10,kha
2005,unknown,production,89.80,kha
2005,clearcut,production,68.10,kha
2005,141...,protected,10.60,kha
2005,131...140,protected,3.60,kha
2005,121...130,protected,5.40,kha
2005,111...120,protected,7.50,kha
2005,101...110,protected,8.80,kha
2005,91...100,protected,15.00,kha
2005,81...90,protected,15.70,kha
2005,71...80,protected,24.00,kha
2005,61...70,protected,28.50,kha
2005,51...60,protected,29.10,kha
2005,41...50,protected,26.20,kha
2005,31...40,protected,19.20,kha
2005,21...30,protected,13.90,kha
2005,11...20,protected,5.30,kha
2005,...10,protected,2.40,kha
2005,unknown,protected,3.70,kha
2005,clearcut,protected,2.20,kha
2006,141...,production,7.30,kha
2006,131...140,production,4.30,kha
2006,121...130,production,11.80,kha
2006,111...120,production,17.10,kha
2006,101...110,production,37.90,kha
2006,91...100,production,65.50,kha
2006,81...90,production,97.10,kha
2006,71...80,production,180.50,kha
2006,61...70,production,207.70,kha
2006,51...60,production,282.80,kha
2006,41...50,production,300.60,kha
2006,31...40,production,255.70,kha
2006,21...30,production,176.20,kha
2006,11...20,production,134.40,kha
2006,...10,production,120.00,kha
2006,unknown,production,83.00,kha
2006,clearcut,production,65.30,kha
2006,141...,protected,10.80,kha
2006,131...140,protected,4.30,kha
2006,121...130,protected,5.50,kha
2006,111...120,protected,5.90,kha
2006,101...110,protected,8.50,kha
2006,91...100,protected,16.30,kha
2006,81...90,protected,15.50,kha
2006,71...80,protected,23.60,kha
2006,61...70,protected,29.40,kha
2006,51...60,protected,31.90,kha
2006,41...50,protected,25.00,kha
2006,31...40,protected,18.30,kha
2006,21...30,protected,12.60,kha
2006,11...20,protected,5.00,kha
2006,...10,protected,2.50,kha
2006,unknown,protected,4.20,kha
2006,clearcut,protected,2.20,kha
2007,141...,production,8.20,kha
2007,131...140,production,4.50,kha
2007,121...130,production,11.90,kha
2007,111...120,production,17.60,kha
2007,101...110,production,38.00,kha
2007,91...100,production,70.50,kha
2007,81...90,production,98.00,kha
2007,71...80,production,184.80,kha
2007,61...70,production,211.30,kha
2007,51...60,production,284.40,kha
2007,41...50,production,293.90,kha
2007,31...40,production,241.20,kha
2007,21...30,production,166.00,kha
2007,11...20,production,135.10,kha
2007,...10,production,128.80,kha
2007,unknown,production,80.20,kha
2007,clearcut,production,63.10,kha
2007,141...,protected,10.80,kha
2007,131...140,protected,5.00,kha
2007,121...130,protected,5.30,kha
2007,111...120,protected,6.40,kha
2007,101...110,protected,7.80,kha
2007,91...100,protected,18.20,kha
2007,81...90,protected,15.60,kha
2007,71...80,protected,23.40,kha
2007,61...70,protected,29.90,kha
2007,51...60,protected,33.60,kha
2007,41...50,protected,28.20,kha
2007,31...40,protected,17.00,kha
2007,21...30,protected,12.10,kha
2007,11...20,protected,5.90,kha
2007,...10,protected,3.10,kha
2007,unknown,protected,3.30,kha
2007,clearcut,protected,1.80,kha
2008,141...,production,8.20,kha
2008,131...140,production,5.60,kha
2008,121...130,production,14.00,kha
2008,111...120,production,18.60,kha
2008,101...110,production,37.90,kha
2008,91...100,production,68.30,kha
2008,81...90,production,99.20,kha
2008,71...80,production,179.00,kha
2008,61...70,production,215.80,kha
2008,51...60,production,279.30,kha
2008,41...50,production,286.80,kha
2008,31...40,production,230.10,kha
2008,21...30,production,152.90,kha
2008,11...20,production,129.60,kha
2008,...10,production,139.20,kha
2008,unknown,production,78.50,kha
2008,clearcut,production,63.60,kha
2008,141...,protected,10.80,kha
2008,131...140,protected,5.40,kha
2008,121...130,protected,5.70,kha
2008,111...120,protected,5.70,kha
2008,101...110,protected,8.60,kha
2008,91...100,protected,19.30,kha
2008,81...90,protected,15.60,kha
2008,71...80,protected,23.10,kha
2008,61...70,protected,28.30,kha
2008,51...60,protected,33.20,kha
2008,41...50,protected,26.00,kha
2008,31...40,protected,18.30,kha
2008,21...30,protected,9.10,kha
2008,11...20,protected,5.60,kha
2008,...10,protected,3.50,kha
2008,unknown,protected,2.80,kha
2008,clearcut,protected,1.60,kha
2009,141...,production,7.90,kha
2009,131...140,production,5.60,kha
2009,121...130,production,14.10,kha
2009,111...120,production,19.10,kha
2009,101...110,production,36.40,kha
2009,91...100,production,64.40,kha
2009,81...90,production,99.20,kha
2009,71...80,production,173.30,kha
2009,61...70,production,224.60,kha
2009,51...60,production,270.80,kha
2009,41...50,production,289.30,kha
2009,31...40,production,231.20,kha
2009,21...30,production,154.70,kha
2009,11...20,production,127.70,kha
2009,...10,production,135.70,kha
2009,unknown,production,79.60,kha
2009,clearcut,production,61.10,kha
2009,141...,protected,9.00,kha
2009,131...140,protected,5.20,kha
2009,121...130,protected,5.10,kha
2009,111...120,protected,6.20,kha
2009,101...110,protected,8.30,kha
2009,91...100,protected,20.40,kha
2009,81...90,protected,15.50,kha
2009,71...80,protected,25.20,kha
2009,61...70,protected,29.50,kha
2009,51...60,protected,31.20,kha
2009,41...50,protected,27.60,kha
2009,31...40,protected,16.30,kha
2009,21...30,protected,9.50,kha
2009,11...20,protected,5.00,kha
2009,...10,protected,3.30,kha
2009,unknown,protected,2.80,kha
2009,clearcut,protected,1.90,kha
2010,141...,production,8.20,kha
2010,131...140,production,5.40,kha
2010,121...130,production,15.30,kha
2010,111...120,production,18.20,kha
2010,101...110,production,37.60,kha
2010,91...100,production,70.10,kha
2010,81...90,production,101.00,kha
2010,71...80,production,169.90,kha
2010,61...70,production,223.00,kha
2010,51...60,production,264.80,kha
2010,41...50,production,298.90,kha
2010,31...40,production,228.20,kha
2010,21...30,production,158.60,kha
2010,11...20,production,134.90,kha
2010,...10,production,138.60,kha
2010,unknown,production,78.40,kha
2010,clearcut,production,58.50,kha
2010,141...,protected,8.60,kha
2010,131...140,protected,4.90,kha
2010,121...130,protected,5.00,kha
2010,111...120,protected,6.60,kha
2010,101...110,protected,8.40,kha
2010,91...100,protected,19.90,kha
2010,81...90,protected,13.90,kha
2010,71...80,protected,25.80,kha
2010,61...70,protected,29.40,kha
2010,51...60,protected,29.30,kha
2010,41...50,protected,26.10,kha
2010,31...40,protected,14.20,kha
2010,21...30,protected,7.50,kha
2010,11...20,protected,5.60,kha
2010,...10,protected,3.00,kha
2010,unknown,protected,2.70,kha
2010,clearcut,protected,1.30,kha
2011,141...,production,8.60,kha
2011,131...140,production,6.30,kha
2011,121...130,production,14.20,kha
2011,111...120,production,15.10,kha
2011,101...110,production,35.30,kha
2011,91...100,production,66.30,kha
2011,81...90,production,100.80,kha
2011,71...80,production,170.30,kha
2011,61...70,production,238.10,kha
2011,51...60,production,258.30,kha
2011,41...50,production,295.30,kha
2011,31...40,production,220.50,kha
2011,21...30,production,154.40,kha
2011,11...20,production,140.50,kha
2011,...10,production,142.70,kha
2011,unknown,production,82.80,kha
2011,clearcut,production,57.90,kha
