Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;391,0
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;411,0
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;411,3
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;405,0
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;404,7
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;407,0
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;402,4
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;395,3
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;387,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;389,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;375,8
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;376,6
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;385,2
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;384,6
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;388,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;409,6
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;419,0
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;428,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;438,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;438,7
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;440,1
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;438,9
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;431,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;426,0
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;425,0
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,6
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,9
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,7
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,9
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,9
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,3
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,7
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,9
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,9
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,7
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,7
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;2,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;2,2
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;2,9
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;2,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;2,5
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;2,3
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;2,5
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,3
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,4
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,4
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,4
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,6
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,6
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,8
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;1,5
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;2,6
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;2,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;2,6
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;2,8
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;3,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;3,7
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;3,6
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;3,5
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;3,6
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,3
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,6
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,5
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,9
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;3,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;3,0
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,8
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;3,0
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;3,2
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,3
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,1
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,7
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;3,5
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;3,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;3,3
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,6
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;7,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;6,9
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;5,7
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;5,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;5,3
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,3
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,4
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;2,5
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;2,5
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;2,9
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,1
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,8
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;5,4
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;6,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;6,0
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;6,8
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;7,0
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;7,1
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;7,3
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;7,4
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;10,3
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;8,5
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;8,0
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;8,7
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;8,4
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;8,5
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;9,6
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;10,1
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;9,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;9,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,6
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,6
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,6
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,3
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,9
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;9,3
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;9,3
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;9,3
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;10,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;9,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;8,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,3
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,8
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;8,0
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;8,6
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;11,5
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;19,1
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;16,2
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;14,3
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;16,8
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;18,8
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;16,9
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;19,7
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;19,5
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;17,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;15,9
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;16,2
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;13,3
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;13,3
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;14,8
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;16,5
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;15,4
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;16,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;17,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;15,1
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;13,8
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;13,7
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;13,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;12,3
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;12,4
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;24,3
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;31,2
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;28,2
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;27,5
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;28,7
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;30,8
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;29,0
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;30,0
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;28,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;27,2
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;23,9
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;24,5
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;23,4
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;23,7
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;21,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;21,3
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;20,3
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;22,3
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;24,7
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;26,0
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;24,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;24,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;22,5
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;19,8
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27.02.2025 13:21:59;19,4
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;37,6
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;46,5
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;46,0
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;45,1
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;46,4
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;46,5
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;44,7
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;44,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;45,1
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;42,8
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;41,5
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;41,1
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;42,3
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;40,3
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;40,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;42,4
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;39,0
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;37,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;38,7
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;40,0
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;36,9
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;37,6
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;36,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;27.02.2025 13:21:59;33,0
